2005,11,9
2014.5,24,10
2009,35,9
2018,41,14
2009,26,8
2015.5,43,13
2009,34,9
2016,32,13
2018,54,14
2005,38,5
2007,12,30
2011.5,31,12
2008,25,8
2009,27,8
2014,32,11
2014,34,11
2016,58,12
2002,26,6
2010.5,29,10
2015.5,20,12
2011.5,27,10
2018.5,49,17
2012,36,8
2006,27,12
2012,38,9
2009,28,8
2012,32,10
2006,27,8
2012,37,7
2015,33,11
2013.5,50,13
2017,114,14
2016,54,13
2015.5,47,14
2018,32,13
2018,37,10
2013.5,62,12
2014,45,9
2012.5,25,6
2016,60,12
2012.5,30,10
2017,49,13
2011.5,34,8
2015,54,14
2017,40,11
2011.5,29,10
2008,31,10
2010.5,35,10
2014.5,30,11
2006,37,9
2006,43,9
2015.5,37,11
2019,42,12
2014,29,11
2009.5,32,7
2013.5,48,12
2018.5,36,15
2017,18,8
2015,43,11
2009,32,10
2016,38,15
2019,42,12
2019,60,13
2016,21,11
2011.5,35,10
2014.5,31,9
2009.5,35,10
2005,16,6
2016,21,11
2012,49,11
2017.5,64,10
2015,20,10
2007,25,42
2019,59,15
2015.5,42,13
2011.5,30,12
2017,16,11
2019.5,60,15
2017.5,51,12
2002,22,8
2008,29,7
2012.5,48,10
2007,31,55
2016,29,12
2009,32,8
2011.5,37,10
2007,11,78
2014.5,48,9
2018,38,10
2015,54,12
2015.5,44,13
2009,24,10
2015,33,12
2014,30,11
2012,31,10
2018.5,56,14
2015,42,12
2013.5,32,10
2010,52,10
2010.5,27,10
2005,26,9
2007,28,29
2009.5,38,9
2009,41,9
2014.5,35,14
2007,28,58
2008.5,21,7
2014,32,8
2008,18,9
2019,71,13
2017,37,10
2018.5,63,12
2007,47,59
2008,41,9
2015,37,13
2018,51,13
2018.5,32,12
2011.5,24,12
2018.5,44,14
2009,37,6
2007,12,9
2017,47,13
2012,42,10
2007,40,40
2007,22,68
2012,42,11
2013.5,40,8
2012,33,11
2019,53,12
2009,28,8
2014.5,32,10
2019.5,38,13
2014,26,9
2005,28,8
2017,53,14
2014,43,11
2012,40,10
2013.5,19,8
2010,44,8
2007,25,4
2010.5,32,8
2019,58,12
2017,24,7
2018.5,40,14
2009,27,13
2012,35,11
2010.5,47,12
2018.5,35,9
2006,31,8
2016,45,11
2010,33,9
2015.5,28,11
2010,27,7
2014,42,8
2012,25,5
2013.5,26,10
2016,24,12
2019,82,13
2011.5,27,10
2012.5,26,6
2007,43,47
2005,34,6
2016,29,15
2012,42,9
2015,59,10
2010,34,10
2017,56,12
2012,29,9
2018,29,13
2018,36,13
2012,38,11
2018,51,14
2017,51,13
2015,44,10
2012,25,7
2005,29,7
2009.5,30,9
2008,40,9
2017,46,11
2019,49,11
2016,51,14
2009.5,38,7
2006,36,10
2008.5,30,9
2011.5,24,12
2010.5,24,8
2014,35,12
2010,28,10
2018,39,14
2018,24,13
2018.5,44,14
2011.5,30,10
2015.5,47,12
2008.5,35,10
2016,52,12
2011.5,49,12
2005,28,12
2017,42,12
2015.5,50,12
2013.5,25,11
2014,41,12
2008,24,8
2007,29,35
2011.5,29,10
2005,42,10
2014.5,38,12
2019,42,11
2005,44,8
2018,32,10
2017,85,14
2005,44,9
2008.5,26,8
2019,54,16
2018,64,15
2010,23,8
2002,22,8
2018.5,48,14
2017,50,15
2017,47,12
2017,29,12
2015.5,17,7
2006,25,6
2016,58,11
2017,41,12
2018,29,10
2017.5,46,12
2010,33,10
2019,49,13
2018,47,14
2008,22,5
2017.5,39,13
2010,41,9
2010.5,36,10
2018.5,56,16
2002,42,11
2017.5,36,9
2005,53,11
2005,40,8
2018.5,63,13
2013.5,25,12
2014.5,37,11
2017.5,56,14
2005,41,8
2018,48,17
2019,58,13
2008.5,39,10
2008,26,9
2015,25,10
2007,51,90
2017.5,27,11
2012.5,28,11
2016,41,9
2014.5,41,10
2005,31,8
2010.5,42,8
2012,22,7
2014.5,54,13
2013.5,32,11
2012,41,10
2017.5,45,13
2017.5,58,13
2018.5,64,14
2013.5,24,8
2009.5,32,8
2009.5,34,12
2008,24,10
2010,19,8
2018,34,12
2005,18,6
2018,31,15
2015,35,10
2015.5,50,9
2017,63,17
2007,15,22
2008,33,9
2010,62,13
2010,26,10
2002,21,8
2019,72,18
2010,39,10
2017,44,11
2018.5,41,11
2017.5,41,15
2005,38,9
2015,58,12
2017,66,12
2005,25,9
2005,38,10
2014.5,36,11
2015,64,10
2014.5,27,11
2016,30,11
2002,36,8
2017,58,13
2017.5,44,16
2012,34,10
2005,21,4
2017,23,10
2007,25,7
2013.5,41,11
2014,60,12
2017,70,11
2019.5,54,16
2014,52,13
2017,46,13
2017,62,14
2013.5,29,12
2015,52,9
2014,33,12
2008,17,10
2010,34,8
2009.5,27,8
2014,36,11
2018,48,11
2014,41,11
2002,28,10
2006,29,8
2019.5,74,10
2014,45,10
2010.5,43,12
2009.5,50,10
2010,25,7
2015,61,11
2016,62,12
2014,28,9
2019,61,13
2019.5,60,17
2007,40,56
2015.5,34,10
2012.5,29,11
2012.5,32,8
2016,32,15
2009.5,17,7
2017,49,12
2018,61,13
2006,15,6
2007,31,84
2009,23,5
2009,25,8
2016,40,10
2017,43,14
2017.5,95,14
2014.5,35,8
2012.5,35,12
2010,21,6
2018.5,59,15
2012,47,10
2012.5,23,10
2012,37,12
2009.5,20,6
2011.5,45,10
2005,19,9
2008,23,9
2006,22,6
2018,50,13
2018,86,14
2006,32,8
2002,17,8
2010.5,19,10
2009.5,30,10
2009,56,10
2017,56,13
2014,41,7
2009,13,9
2012.5,39,7
2006,16,8
2010,47,12
2005,30,10
2010.5,14,12
2019.5,48,12
2015.5,49,11
2017,28,12
2019,33,12
2018,71,11
